PDB,no_disulfides,seq_length
1F5W,2,126
2ALP,3,198
2ALP,3,198
2ALP,3,198
2ALP,3,198
2ALP,3,198
2ALP,3,198
2Z3Q,8,107
1TPX,4,121
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1QQY,4,130
1L6X,3,34
1L6X,3,34
1L6X,3,34
1L6X,3,34
1L6X,3,34
1L6X,3,34
1BR9,6,194
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
1IEE,4,129
2J4T,6,144
2J4T,6,144
2J4T,6,144
2J4T,6,144
2J4T,6,144
2J4T,6,144
1XAK,2,83
2QYP,6,91
1KCQ,1,104
2GMF,4,127
1BYF,4,125
1DQE,6,137
1DQE,6,137
1DQE,6,137
1DQE,6,137
1DQE,6,137
1DQE,6,137
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
2FD9,3,46
3BPO,11,127
1ZLH,7,75
2E3W,4,124
1Y62,12,60
1NCO,4,113
1NCO,4,113
1NCO,4,113
1NCO,4,113
1NCO,4,113
1NCO,4,113
1UUH,6,159
1UUH,6,159
1UUH,6,159
1UUH,6,159
1UUH,6,159
1UUH,6,159
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1KNL,3,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1IWT,4,130
1B88,2,114
1N0S,4,184
1N0S,4,184
1N0S,4,184
1N0S,4,184
1N0S,4,184
1N0S,4,184
3EZM,2,101
3EZM,2,101
3EZM,2,101
3EZM,2,101
3EZM,2,101
3EZM,2,101
1BEB,4,162
1M8N,20,121
1M8N,20,121
1M8N,20,121
1M8N,20,121
1M8N,20,121
1M8N,20,121
1TN3,3,137
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
2VPF,32,102
1I1J,4,108
1EPF,8,191
1OB1,22,99
1UV0,3,149
1UV0,3,149
1UV0,3,149
1UV0,3,149
1UV0,3,149
1UV0,3,149
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
3RN3,4,124
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
1VAP,14,123
